,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
38,38,3737.1064453125,2022-11-11 17:05:24.678411,2022-11-11 19:28:20.917451,0 days 02:22:56.239040,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0006425291431294479,medium,0.10411268247360517,ornstein-uhlenbeck,0.05,4,COMPLETE
39,39,3857.69140625,2022-11-11 19:28:20.917451,2022-11-11 22:21:29.148628,0 days 02:53:08.231177,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.004808036025677961,medium,0.08603001324687244,ornstein-uhlenbeck,0.05,4,COMPLETE
40,40,3844.287109375,2022-11-11 22:21:29.156661,2022-11-12 00:50:02.003328,0 days 02:28:32.846667,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0015735145174843512,medium,0.09572659927597696,ornstein-uhlenbeck,0.05,4,COMPLETE
41,41,4268.630859375,2022-11-12 00:50:02.003328,2022-11-12 03:35:46.264379,0 days 02:45:44.261051,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.001442344823992102,medium,0.07332997021001651,ornstein-uhlenbeck,0.05,4,COMPLETE
42,42,-1855.9736328125,2022-11-12 03:35:46.272421,2022-11-12 03:57:47.769736,0 days 00:22:01.497315,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.004732278172688461,medium,0.06686145108945789,ornstein-uhlenbeck,0.05,4,PRUNED
43,43,4086.412109375,2022-11-12 03:57:47.769736,2022-11-12 06:26:28.705129,0 days 02:28:40.935393,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0016087234600675397,medium,0.004259243790745701,ornstein-uhlenbeck,0.05,4,COMPLETE
44,44,-4161.4306640625,2022-11-12 06:26:28.713162,2022-11-12 06:47:40.565160,0 days 00:21:11.851998,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.001959876860036144,medium,0.008613768384377718,ornstein-uhlenbeck,0.05,4,PRUNED
45,45,-28.026308059692383,2022-11-12 06:47:40.573203,2022-11-12 07:14:09.062887,0 days 00:26:28.489684,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.010999171276805135,medium,0.15941073348297324,ornstein-uhlenbeck,0.005,4,PRUNED
46,46,783.6912841796875,2022-11-12 07:14:09.062887,2022-11-12 07:28:36.396109,0 days 00:14:27.333222,<class 'torch.nn.modules.activation.ELU'>,16,100000,0.99,0.0035803234658395747,big,0.06371255063940759,ornstein-uhlenbeck,0.02,4,PRUNED
47,47,-2548.09375,2022-11-12 07:28:36.404156,2022-11-12 07:45:00.672547,0 days 00:16:24.268391,<class 'torch.nn.modules.activation.ELU'>,128,100000,0.99,0.03574447188841127,medium,0.14865348870017572,ornstein-uhlenbeck,0.05,8,PRUNED
48,48,2816.01904296875,2022-11-12 07:45:00.672547,2022-11-12 08:03:15.968657,0 days 00:18:15.296110,<class 'torch.nn.modules.activation.ELU'>,512,100000,0.99,0.0020294398252209507,medium,0.2100492941033923,ornstein-uhlenbeck,0.08,16,PRUNED
49,49,-306.37872314453125,2022-11-12 08:03:15.968657,2022-11-12 08:18:48.400545,0 days 00:15:32.431888,<class 'torch.nn.modules.activation.ELU'>,100,100000,0.995,0.009923161627901864,medium,0.06639167746612941,ornstein-uhlenbeck,0.05,128,PRUNED
50,50,2775.22998046875,2022-11-12 08:18:48.402592,2022-11-12 08:42:26.044179,0 days 00:23:37.641587,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.999,0.0009723590909354586,medium,0.00946213152590103,ornstein-uhlenbeck,0.05,1,PRUNED
51,51,2291.45068359375,2022-11-12 08:42:26.044179,2022-11-12 09:05:50.935487,0 days 00:23:24.891308,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0013787965925699443,medium,0.12311288099553007,ornstein-uhlenbeck,0.05,4,PRUNED
