,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
37,37,775.4190673828125,2022-10-20 19:32:41.332396,2022-10-20 19:54:08.492963,0 days 00:21:27.160567,elu,256,0.3,0.0038934522531452642,0.9,0.9,0.0002909966110938725,0.1469818168335646,0.7,5,16,medium,False,256,0.9680673482264068,PRUNED
38,38,-525.1461181640625,2022-10-20 19:54:08.492963,2022-10-20 20:07:27.158596,0 days 00:13:18.665633,relu,128,0.4,0.041301426389039636,0.8,0.95,7.666372102803343e-05,0.5123613779562728,0.6,1,512,big,False,-1,0.4852026461730076,PRUNED
39,39,-715.0438232421875,2022-10-20 20:07:27.160633,2022-10-20 20:24:38.214212,0 days 00:17:11.053579,leaky_relu,512,0.2,1.760725520414376e-05,1.0,0.995,4.183135170108674e-05,-3.231873811980596,2.0,20,16,medium,False,128,0.8823032936454656,PRUNED
40,40,3594.203369140625,2022-10-20 20:24:38.214212,2022-10-20 21:53:15.835202,0 days 01:28:37.620990,elu,32,0.3,0.017645121179612862,0.99,0.9,0.028086020332699673,0.7587334716096195,0.3,5,32,big,False,256,0.6208851730401921,COMPLETE
41,41,3759.97314453125,2022-10-20 21:53:15.843246,2022-10-20 23:20:18.198151,0 days 01:27:02.354905,elu,32,0.3,0.012527984535346096,0.99,0.9,0.02517839788116508,0.7333944219104371,0.3,5,32,big,False,256,0.6163968782720354,COMPLETE
42,42,-139.3980255126953,2022-10-20 23:20:18.206196,2022-10-20 23:34:48.299756,0 days 00:14:30.093560,elu,32,0.3,0.01839007601846254,0.99,0.9,0.031010978389671134,-0.25355171498122586,0.3,5,32,big,False,256,0.6188751523659426,PRUNED
43,43,266.3077087402344,2022-10-20 23:34:48.307808,2022-10-20 23:49:59.541313,0 days 00:15:11.233505,elu,32,0.3,0.09952967349710155,0.99,0.9,0.13595118301736245,0.6788862037893811,0.3,5,32,big,False,256,0.5371345184358369,PRUNED
44,44,-2566.68896484375,2022-10-20 23:49:59.541313,2022-10-21 00:04:29.350825,0 days 00:14:29.809512,elu,32,0.3,0.012152420727974426,0.99,0.995,0.01758468969412971,-0.6518038414233303,0.3,5,32,big,False,8,0.40889946480665607,PRUNED
45,45,2725.50341796875,2022-10-21 00:04:29.352862,2022-10-21 01:29:31.998537,0 days 01:25:02.645675,elu,32,0.2,0.040684260001505476,0.99,0.9,0.007759743019237097,0.1286482411543628,0.3,5,32,medium,False,256,0.6573548411837968,COMPLETE
46,46,-1551.40869140625,2022-10-21 01:29:32.006577,2022-10-21 03:00:54.000544,0 days 01:31:21.993967,elu,32,0.3,0.004857030798458411,0.99,0.95,0.059958326973584816,-2.9648232521636046,0.3,5,32,big,False,32,0.6963198503935449,PRUNED
47,47,,2022-10-21 03:00:54.000544,2022-10-21 03:04:02.335944,0 days 00:03:08.335400,relu,16,0.4,0.0011560432807410552,0.9,0.995,0.7548187439277168,0.6616373504631028,0.8,5,1024,medium,False,128,0.5599696460118371,PRUNED
48,48,-1368.9259033203125,2022-10-21 03:04:02.335944,2022-10-21 03:18:01.281209,0 days 00:13:58.945265,tanh,32,0.2,0.043680993286742624,0.99,0.98,0.0039815072097666784,0.4643887453090369,0.5,5,64,big,False,-1,0.4054230188044864,PRUNED
49,49,-366.52813720703125,2022-10-21 03:18:01.281209,2022-10-21 03:32:59.340387,0 days 00:14:58.059178,leaky_relu,8,0.3,0.009786848395825063,0.95,0.99,0.2925004926764161,0.16376407236718254,5.0,5,32,medium,False,256,0.2189079690602735,PRUNED
50,50,2610.953125,2022-10-21 03:32:59.340387,2022-10-21 04:59:36.461235,0 days 01:26:37.120848,tanh,16,0.1,0.004745755517202541,0.8,0.9,0.025138413801312855,-2.4900146254044353,0.3,5,256,big,False,64,0.5109219613587769,COMPLETE
51,51,-461.9903564453125,2022-10-21 04:59:36.463267,2022-10-21 05:13:25.009076,0 days 00:13:48.545809,elu,256,0.3,0.018769612882639147,0.98,0.9,0.00031098343999445865,0.8620955050381455,2.0,20,2048,big,False,256,0.7273906461187573,PRUNED
52,52,408.36456298828125,2022-10-21 05:13:25.011124,2022-10-21 05:48:02.971049,0 days 00:34:37.959925,elu,128,0.3,0.00029119583021304084,1.0,0.9,0.0021201891255219173,0.9830576140705496,0.6,1,8,big,False,256,0.8188521944111785,PRUNED
53,53,-7090.7763671875,2022-10-21 05:48:02.971049,2022-10-21 07:23:45.156136,0 days 01:35:42.185087,elu,512,0.3,8.798473094069709e-05,0.99,0.9,0.010170597050346208,0.7328223189392085,0.9,5,16,big,False,256,0.7585148603028324,COMPLETE
54,54,-2237.8935546875,2022-10-21 07:23:45.164172,2022-10-21 07:39:39.508971,0 days 00:15:54.344799,elu,32,0.3,0.0006878352810923076,0.92,0.9,0.05084356146833744,-2.0558705991351953,2.0,10,512,big,False,256,0.6086071811867959,PRUNED
