,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
33,33,3866.79736328125,2022-11-15 12:42:08.370845,2022-11-15 14:10:57.946891,0 days 01:28:49.576046,<class 'torch.nn.modules.activation.Tanh'>,16,10000,0.0001,0.999,0.006248101902097025,1000,-0.814760760421839,medium,0.08,4,COMPLETE
34,34,1848.571044921875,2022-11-15 14:10:57.946891,2022-11-15 14:25:18.745737,0 days 00:14:20.798846,<class 'torch.nn.modules.activation.Tanh'>,16,10000,0.0001,0.999,0.005726205485526598,1000,-0.9345262965346799,medium,0.001,256,PRUNED
35,35,-1812.1011962890625,2022-11-15 14:25:18.745737,2022-11-15 14:39:41.284528,0 days 00:14:22.538791,<class 'torch.nn.modules.activation.Tanh'>,16,10000,auto,0.999,0.0020941541900674184,1000,-0.16717734586328092,medium,0.08,32,PRUNED
36,36,1050.0775146484375,2022-11-15 14:39:41.284528,2022-11-15 14:53:34.524553,0 days 00:13:53.240025,<class 'torch.nn.modules.activation.ReLU'>,16,10000,0.1,0.999,0.00035604943263506335,20000,-0.7464222734001253,medium,0.01,4,PRUNED
37,37,2275.5224609375,2022-11-15 14:53:34.524553,2022-11-15 15:08:08.714282,0 days 00:14:34.189729,<class 'torch.nn.modules.activation.ELU'>,32,100000,0.0001,0.9999,0.0011763084378874145,10000,-0.41655787281577217,big,0.001,16,PRUNED
38,38,-431.1525573730469,2022-11-15 15:08:08.716321,2022-11-15 15:41:39.308631,0 days 00:33:30.592310,<class 'torch.nn.modules.activation.Tanh'>,512,10000,0.01,0.999,0.009627740917508072,1000,-1.3797748318972725,medium,0.02,64,PRUNED
39,39,-5177.798828125,2022-11-15 15:41:39.308631,2022-11-15 15:55:47.497209,0 days 00:14:08.188578,<class 'torch.nn.modules.activation.ReLU'>,256,1000000,0.0001,0.9999,0.00335123605049878,10000,-3.0618022720298472,small,0.08,128,PRUNED
40,40,369.0259704589844,2022-11-15 15:55:47.505246,2022-11-15 16:09:43.557417,0 days 00:13:56.052171,<class 'torch.nn.modules.activation.LeakyReLU'>,16,10000,0.5,0.9,1.3543713580283755e-05,20000,-0.0045545260931383336,medium,0.01,8,PRUNED
41,41,-5480.9697265625,2022-11-15 16:09:43.565456,2022-11-15 16:24:46.862443,0 days 00:15:03.296987,<class 'torch.nn.modules.activation.Tanh'>,128,10000,0.0001,0.995,0.0513520538526728,1000,-1.8539636031228506,medium,0.08,4,PRUNED
42,42,685.03857421875,2022-11-15 16:24:46.862443,2022-11-15 16:50:40.591970,0 days 00:25:53.729527,<class 'torch.nn.modules.activation.Tanh'>,2048,10000,0.0001,0.995,0.12864442870268325,1000,-2.5676972475450777,medium,0.08,4,PRUNED
43,43,3419.547607421875,2022-11-15 16:50:40.600014,2022-11-15 17:20:56.050416,0 days 00:30:15.450402,<class 'torch.nn.modules.activation.Tanh'>,128,10000,0.0001,0.99,0.018515138540002984,1000,0.677536631640834,medium,0.08,4,PRUNED
44,44,734.1044921875,2022-11-15 17:20:56.050416,2022-11-15 17:46:54.573826,0 days 00:25:58.523410,<class 'torch.nn.modules.activation.Tanh'>,2048,10000,0.0001,0.9999,0.2713923144774543,1000,-1.0929656635830518,medium,0.05,1,PRUNED
45,45,-1197.2919921875,2022-11-15 17:46:54.573826,2022-11-15 18:02:09.811392,0 days 00:15:15.237566,<class 'torch.nn.modules.activation.ReLU'>,64,100000,auto,0.95,0.014822839141876201,0,-0.5296889684802609,medium,0.08,16,PRUNED
46,46,1454.958740234375,2022-11-15 18:02:09.819440,2022-11-15 18:17:25.434616,0 days 00:15:15.615176,<class 'torch.nn.modules.activation.ReLU'>,256,1000000,0.1,0.999,0.005002584132534,10000,-1.5465644020963236,medium,0.05,4,PRUNED
47,47,-1336.88037109375,2022-11-15 18:17:25.436653,2022-11-15 18:31:32.109485,0 days 00:14:06.672832,<class 'torch.nn.modules.activation.ELU'>,32,10000,0.5,0.98,0.0006638017000075218,20000,0.3107316846140402,big,0.001,32,PRUNED
48,48,425.639892578125,2022-11-15 18:31:32.109485,2022-11-15 18:45:42.420950,0 days 00:14:10.311465,<class 'torch.nn.modules.activation.Tanh'>,16,1000000,0.05,0.9,0.00031597550358414945,1000,-0.8767103779548923,medium,0.01,256,PRUNED
49,49,-2731.39501953125,2022-11-15 18:45:42.420950,2022-11-15 19:00:10.857235,0 days 00:14:28.436285,<class 'torch.nn.modules.activation.ReLU'>,512,10000,0.0001,0.9999,0.03714306214692696,10000,0.7047412890836738,small,0.005,1,PRUNED
50,50,1096.9476318359375,2022-11-15 19:00:10.857235,2022-11-15 19:16:19.493426,0 days 00:16:08.636191,<class 'torch.nn.modules.activation.ReLU'>,1024,1000000,0.01,0.9,8.315845321550604e-05,20000,-0.2996793044560725,medium,0.05,512,PRUNED
51,51,644.004638671875,2022-11-15 19:16:19.493461,2022-11-15 19:34:27.983066,0 days 00:18:08.489605,<class 'torch.nn.modules.activation.LeakyReLU'>,512,1000000,0.0001,0.95,3.972816870932276e-05,10000,0.741341576208959,big,0.01,64,PRUNED
52,52,-353.43731689453125,2022-11-15 19:34:27.983066,2022-11-15 19:52:49.921431,0 days 00:18:21.938365,<class 'torch.nn.modules.activation.LeakyReLU'>,512,1000000,0.0001,0.95,2.9656325261474827e-05,10000,-0.04820233735538523,big,0.01,64,PRUNED
53,53,247.298583984375,2022-11-15 19:52:49.921431,2022-11-15 20:07:58.697750,0 days 00:15:08.776319,<class 'torch.nn.modules.activation.LeakyReLU'>,128,1000000,0.5,0.95,8.557438868198218e-05,10000,0.29211495668473786,big,0.01,64,PRUNED
54,54,-4734.5478515625,2022-11-15 20:07:58.697750,2022-11-15 20:26:39.259051,0 days 00:18:40.561301,<class 'torch.nn.modules.activation.LeakyReLU'>,512,1000000,0.0001,0.995,0.00804307015425013,10000,-1.8391300742129937,big,0.02,128,PRUNED
55,55,3139.3134765625,2022-11-15 20:26:39.267095,2022-11-15 20:55:33.650669,0 days 00:28:54.383574,<class 'torch.nn.modules.activation.ReLU'>,64,1000000,0.5,0.9,0.0014890736245211332,20000,0.874670736944648,medium,0.01,16,PRUNED
56,56,-4842.6298828125,2022-11-15 20:55:33.658739,2022-11-15 21:11:19.626271,0 days 00:15:45.967532,<class 'torch.nn.modules.activation.ReLU'>,64,100000,0.0001,0.95,0.0033589705829617806,0,0.17259660014660938,big,0.001,64,PRUNED
57,57,538.3223876953125,2022-11-15 21:11:19.626271,2022-11-15 21:30:41.961057,0 days 00:19:22.334786,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,1000000,0.0001,0.98,0.022640503249266326,20000,0.43851275973094933,medium,0.05,512,PRUNED
58,58,1525.5140380859375,2022-11-15 21:30:41.961057,2022-11-15 21:45:49.980414,0 days 00:15:08.019357,<class 'torch.nn.modules.activation.ELU'>,128,1000000,0.5,0.99,1.041314974223703e-05,10000,-0.2889950874622915,medium,0.08,4,PRUNED
59,59,395.0148010253906,2022-11-15 21:45:49.980414,2022-11-15 22:00:39.254867,0 days 00:14:49.274453,<class 'torch.nn.modules.activation.Tanh'>,64,10000,0.05,0.9,0.00012732561365414946,1000,-2.0830505906890338,medium,0.01,8,PRUNED
60,60,872.4998779296875,2022-11-15 22:00:39.254867,2022-11-15 22:28:41.416564,0 days 00:28:02.161697,<class 'torch.nn.modules.activation.ReLU'>,16,1000000,auto,0.9999,0.0007395545214771967,20000,-2.6904771846639988,small,0.001,512,PRUNED
61,61,-5466.31689453125,2022-11-15 22:28:41.416564,2022-11-15 22:42:56.118434,0 days 00:14:14.701870,<class 'torch.nn.modules.activation.LeakyReLU'>,64,10000,0.05,0.999,0.001539271404590788,0,-3.9802678234205446,small,0.005,512,PRUNED
62,62,-2290.3525390625,2022-11-15 22:42:56.118434,2022-11-15 22:57:16.144766,0 days 00:14:20.026332,<class 'torch.nn.modules.activation.LeakyReLU'>,64,10000,0.05,0.999,0.0004709896102631229,0,-0.6429532252538817,small,0.005,512,PRUNED
63,63,-827.7451171875,2022-11-15 22:57:16.144766,2022-11-15 23:11:18.305980,0 days 00:14:02.161214,<class 'torch.nn.modules.activation.LeakyReLU'>,64,10000,0.05,0.999,0.004639147214978891,0,-0.15810041122219148,small,0.005,512,PRUNED
