train/actor_loss,time/episodes,train/n_updates,time/fps,time/total_timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean
-575.3491725921631,580,55936,26,56064,2064.256757736206,2115,2442.2385,0.0018832140971657787,96.0
,584,,26,56064,,2115,2442.2385,,96.0
-572.8651809692383,588,56704,26,56832,2071.152624130249,2144,2448.8015,0.0018832140971657787,96.0
,592,,26,56832,,2144,2448.8015,,96.0
-566.084550857544,596,57472,26,57600,2046.9204692840576,2173,2453.9543,0.0018832140971657787,96.0
,600,,26,57600,,2173,2453.9543,,96.0
-565.346866607666,604,58240,26,58368,2113.125020980835,2203,2459.9863,0.0018832140971657787,96.0
,608,,26,58368,,2203,2459.9863,,96.0
-566.042594909668,612,59008,26,59136,2101.6445751190186,2232,2458.911,0.0018832140971657787,96.0
,616,,26,59136,,2232,2458.911,,96.0
-559.1627712249756,620,59776,26,59904,2127.029342651367,2261,2463.2542,0.0018832140971657787,96.0
,624,,26,59904,,2261,2463.2542,,96.0
-556.0470848083496,628,60544,26,60672,2135.1277503967285,2290,2466.507,0.0018832140971657787,96.0
,632,,26,60672,,2290,2466.507,,96.0
-546.7728519439697,636,61312,26,61440,2094.223669052124,2318,2466.3198,0.0018832140971657787,96.0
,640,,26,61440,,2318,2466.3198,,96.0
-544.5109252929688,644,62080,26,62208,2178.261110305786,2348,2460.2285,0.0018832140971657787,96.0
,648,,26,62208,,2348,2460.2285,,96.0
-539.8412961959839,652,62848,26,62976,2085.818292617798,2376,2459.3462,0.0018832140971657787,96.0
,656,,26,62976,,2376,2459.3462,,96.0
-539.0205307006836,660,63616,26,63744,2158.80873298645,2405,2464.3289,0.0018832140971657787,96.0
,664,,26,63744,,2405,2464.3289,,96.0
-537.8783893585205,668,64384,26,64512,2134.0770015716553,2435,2467.0127,0.0018832140971657787,96.0
,672,,26,64512,,2435,2467.0127,,96.0
-532.4924535751343,676,65152,26,65280,2125.9941387176514,2464,2469.2803,0.0018832140971657787,96.0
,680,,26,65280,,2464,2469.2803,,96.0
-535.7544994354248,684,65920,26,66048,2177.3115787506104,2492,2470.4985,0.0018832140971657787,96.0
,688,,26,66048,,2492,2470.4985,,96.0
-533.6607294082642,692,66688,26,66816,2229.745090484619,2522,2467.5667,0.0018832140971657787,96.0
,696,,26,66816,,2522,2467.5667,,96.0
-529.4564142227173,700,67456,26,67584,2095.6169929504395,2551,2464.26,0.0018832140971657787,96.0
,704,,26,67584,,2551,2464.26,,96.0
-524.4496088027954,708,68224,26,68352,2137.5831508636475,2581,2458.815,0.0018832140971657787,96.0
,712,,26,68352,,2581,2458.815,,96.0
-522.8738842010498,716,68992,26,69120,2164.7754764556885,2609,2454.522,0.0018832140971657787,96.0
,720,,26,69120,,2609,2454.522,,96.0
-518.857292175293,724,69760,26,69888,2124.2640266418457,2639,2442.3677,0.0018832140971657787,96.0
,728,,26,69888,,2639,2442.3677,,96.0
-513.3293838500977,732,70528,26,70656,2163.3192291259766,2667,2431.0837,0.0018832140971657787,96.0
,736,,26,70656,,2667,2431.0837,,96.0
-512.0389680862427,740,71296,26,71424,2157.2971382141113,2696,2424.8843,0.0018832140971657787,96.0
,744,,26,71424,,2696,2424.8843,,96.0
-505.7542428970337,748,72064,26,72192,2120.2397117614746,2725,2420.447,0.0018832140971657787,96.0
,752,,26,72192,,2725,2420.447,,96.0
-500.5547733306885,756,72832,26,72960,2129.900249481201,2754,2409.5884,0.0018832140971657787,96.0
,760,,26,72960,,2754,2409.5884,,96.0
-499.20324993133545,764,73600,26,73728,2109.0379276275635,2783,2404.41,0.0018832140971657787,96.0
,768,,26,73728,,2783,2404.41,,96.0
-499.5209836959839,772,74368,26,74496,2103.0184173583984,2812,2397.6157,0.0018832140971657787,96.0
,776,,26,74496,,2812,2397.6157,,96.0
-495.37615966796875,780,75136,26,75264,2095.7812938690186,2841,2389.33,0.0018832140971657787,96.0
,784,,26,75264,,2841,2389.33,,96.0
-494.7182865142822,788,75904,26,76032,2105.87193107605,2869,2390.246,0.0018832140971657787,96.0
,792,,26,76032,,2869,2390.246,,96.0
-489.1192903518677,796,76672,26,76800,2051.6691303253174,2899,2383.8574,0.0018832140971657787,96.0
,800,,26,76800,,2899,2383.8574,,96.0
-487.8760862350464,804,77440,26,77568,2109.1633625030518,2928,2376.123,0.0018832140971657787,96.0
,808,,26,77568,,2928,2376.123,,96.0
-488.6996154785156,812,78208,26,78336,2087.001256942749,2958,2374.8362,0.0018832140971657787,96.0
,816,,26,78336,,2958,2374.8362,,96.0
-483.06458282470703,820,78976,26,79104,2147.549383163452,2987,2362.8984,0.0018832140971657787,96.0
,824,,26,79104,,2987,2362.8984,,96.0
-483.4541072845459,828,79744,26,79872,2094.754951477051,3017,2361.5193,0.0018832140971657787,96.0
,832,,26,79872,,3017,2361.5193,,96.0
-478.1955814361572,836,80512,26,80640,2114.3769397735596,3046,2362.0088,0.0018832140971657787,96.0
,840,,26,80640,,3046,2362.0088,,96.0
-479.7703638076782,844,81280,26,81408,2109.3237628936768,3075,2352.4482,0.0018832140971657787,96.0
,848,,26,81408,,3075,2352.4482,,96.0
-473.0417242050171,852,82048,26,82176,2104.3972759246826,3104,2336.449,0.0018832140971657787,96.0
,856,,26,82176,,3104,2336.449,,96.0
-465.90161418914795,860,82816,26,82944,2049.186777114868,3133,2336.1313,0.0018832140971657787,96.0
,864,,26,82944,,3133,2336.1313,,96.0
-460.67103004455566,868,83584,26,83712,2054.403257369995,3161,2329.2559,0.0018832140971657787,96.0
,872,,26,83712,,3161,2329.2559,,96.0
-460.8434524536133,876,84352,26,84480,2018.1296138763428,3192,2327.085,0.0018832140971657787,96.0
,880,,26,84480,,3192,2327.085,,96.0
-453.0843439102173,884,85120,26,85248,2035.5304431915283,3220,2323.373,0.0018832140971657787,96.0
,888,,26,85248,,3220,2323.373,,96.0
-449.8930721282959,892,85888,26,86016,2019.2496089935303,3249,2306.635,0.0018832140971657787,96.0
,896,,26,86016,,3249,2306.635,,96.0
-450.7373971939087,900,86656,26,86784,2037.9012050628662,3278,2300.1226,0.0018832140971657787,96.0
,904,,26,86784,,3278,2300.1226,,96.0
-446.4617347717285,908,87424,26,87552,2055.4839267730713,3307,2292.3179,0.0018832140971657787,96.0
,912,,26,87552,,3307,2292.3179,,96.0
-441.1633291244507,916,88192,26,88320,2044.7977275848389,3337,2290.7805,0.0018832140971657787,96.0
,920,,26,88320,,3337,2290.7805,,96.0
-445.292893409729,924,88960,26,89088,2058.1374282836914,3367,2277.4592,0.0018832140971657787,96.0
