rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef
384.39758,844,96.0,81408,1939,41,-404.8218994140625,479,0.0007666348686557302,1528.702880859375,0.5
384.39758,848,96.0,81408,1939,41,,,,,
432.32565,852,96.0,82176,1957,41,-394.1365661621094,485,0.0007666348686557302,2701.6240234375,0.5
432.32565,856,96.0,82176,1957,41,,,,,
472.52444,860,96.0,82944,1976,41,-396.74725341796875,491,0.0007666348686557302,1416.521240234375,0.5
472.52444,864,96.0,82944,1976,41,,,,,
502.29745,868,96.0,83712,1994,41,-389.60113525390625,497,0.0007666348686557302,2322.3740234375,0.5
502.29745,872,96.0,83712,1994,41,,,,,
515.75287,876,96.0,84480,2012,41,-384.95684814453125,503,0.0007666348686557302,3947.833984375,0.5
515.75287,880,96.0,84480,2012,41,,,,,
551.5351,884,96.0,85248,2031,41,-420.638671875,509,0.0007666348686557302,1409.728515625,0.5
551.5351,888,96.0,85248,2031,41,,,,,
648.5432,892,96.0,86016,2049,41,-380.6348571777344,515,0.0007666348686557302,1418.81005859375,0.5
648.5432,896,96.0,86016,2049,41,,,,,
796.81384,900,96.0,86784,2067,41,-453.20391845703125,521,0.0007666348686557302,1395.4974365234375,0.5
796.81384,904,96.0,86784,2067,41,,,,,
950.0044,908,96.0,87552,2086,41,-436.59918212890625,527,0.0007666348686557302,1387.328125,0.5
950.0044,912,96.0,87552,2086,41,,,,,
1128.3707,916,96.0,88320,2104,41,-416.8831481933594,533,0.0007666348686557302,1444.69677734375,0.5
1128.3707,920,96.0,88320,2104,41,,,,,
1319.6722,924,96.0,89088,2122,41,-416.5189514160156,539,0.0007666348686557302,1984.7060546875,0.5
1319.6722,928,96.0,89088,2122,41,,,,,
1495.4576,932,96.0,89856,2141,41,-422.8857116699219,545,0.0007666348686557302,1742.0289306640625,0.5
1495.4576,936,96.0,89856,2141,41,,,,,
1690.5208,940,96.0,90624,2159,41,-414.02886962890625,551,0.0007666348686557302,1628.9744873046875,0.5
1690.5208,944,96.0,90624,2159,41,,,,,
1943.8801,948,96.0,91392,2177,41,-450.9271240234375,557,0.0007666348686557302,3974.832763671875,0.5
1943.8801,952,96.0,91392,2177,41,,,,,
2155.0183,956,96.0,92160,2195,41,-398.545654296875,563,0.0007666348686557302,2907.349609375,0.5
2155.0183,960,96.0,92160,2196,41,,,,,
2363.0889,964,96.0,92928,2214,41,-461.4017333984375,569,0.0007666348686557302,2751.03857421875,0.5
2363.0889,968,96.0,92928,2214,41,,,,,
2529.0923,972,96.0,93696,2232,41,-456.57806396484375,575,0.0007666348686557302,2331.34814453125,0.5
2529.0923,976,96.0,93696,2232,41,,,,,
2659.6018,980,96.0,94464,2251,41,-395.0230712890625,581,0.0007666348686557302,2153.255859375,0.5
2659.6018,984,96.0,94464,2251,41,,,,,
2796.0132,988,96.0,95232,2269,41,-417.07666015625,587,0.0007666348686557302,1159.399169921875,0.5
2796.0132,992,96.0,95232,2269,41,,,,,
2914.1506,996,96.0,96000,2288,41,-452.8106689453125,593,0.0007666348686557302,1497.550048828125,0.5
2914.1506,1000,96.0,96000,2288,41,,,,,
3012.925,1004,96.0,96768,2306,41,-429.1215515136719,599,0.0007666348686557302,2527.3193359375,0.5
3012.925,1008,96.0,96768,2306,41,,,,,
3054.1228,1012,96.0,97536,2325,41,-378.4129333496094,605,0.0007666348686557302,2429.94921875,0.5
3054.1228,1016,96.0,97536,2325,41,,,,,
3072.7437,1020,96.0,98304,2343,41,-429.89788818359375,611,0.0007666348686557302,2879.09423828125,0.5
3072.7437,1024,96.0,98304,2343,41,,,,,
3109.7585,1028,96.0,99072,2362,41,-400.2402038574219,617,0.0007666348686557302,2924.234130859375,0.5
3109.7585,1032,96.0,99072,2362,41,,,,,
3086.0684,1036,96.0,99840,2380,41,-413.48724365234375,623,0.0007666348686557302,1080.975341796875,0.5
3086.0684,1040,96.0,99840,2380,41,,,,,
2996.367,1044,96.0,100608,2398,41,-406.9994812011719,629,0.0007666348686557302,1246.091064453125,0.5
2996.367,1048,96.0,100608,2398,41,,,,,
2885.1812,1052,96.0,101376,2417,41,-445.6304626464844,635,0.0007666348686557302,1343.40625,0.5
2885.1812,1056,96.0,101376,2417,41,,,,,
2788.7715,1060,96.0,102144,2435,41,-407.6927185058594,641,0.0007666348686557302,3700.521484375,0.5
2788.7715,1064,96.0,102144,2435,41,,,,,
2734.6238,1068,96.0,102912,2454,41,-413.19964599609375,647,0.0007666348686557302,1945.203125,0.5
2734.6238,1072,96.0,102912,2454,41,,,,,
2723.2698,1076,96.0,103680,2472,41,-404.7789611816406,653,0.0007666348686557302,1463.28369140625,0.5
2723.2698,1080,96.0,103680,2472,41,,,,,
2669.4287,1084,96.0,104448,2491,41,-445.9552917480469,659,0.0007666348686557302,2694.39892578125,0.5
2669.4287,1088,96.0,104448,2491,41,,,,,
2537.1687,1092,96.0,105216,2509,41,-442.1087646484375,665,0.0007666348686557302,1932.006591796875,0.5
2537.1687,1096,96.0,105216,2509,41,,,,,
2401.5076,1100,96.0,105984,2527,41,-359.36688232421875,671,0.0007666348686557302,2201.205810546875,0.5
2401.5076,1104,96.0,105984,2527,41,,,,,
2315.9746,1108,96.0,106752,2546,41,-463.1614074707031,677,0.0007666348686557302,1517.85107421875,0.5
2315.9746,1112,96.0,106752,2546,41,,,,,
2229.1904,1116,96.0,107520,2564,41,-434.9107360839844,683,0.0007666348686557302,1239.427490234375,0.5
2229.1904,1120,96.0,107520,2564,41,,,,,
2130.3562,1124,96.0,108288,2582,41,-410.7784423828125,689,0.0007666348686557302,1268.2646484375,0.5
2130.3562,1128,96.0,108288,2582,41,,,,,
2170.0608,1132,96.0,109056,2600,41,-450.16522216796875,695,0.0007666348686557302,2023.633544921875,0.5
2170.0608,1136,96.0,109056,2600,41,,,,,
2235.1643,1140,96.0,109824,2619,41,-400.88153076171875,701,0.0007666348686557302,1692.704833984375,0.5
2235.1643,1144,96.0,109824,2619,41,,,,,
2316.2764,1148,96.0,110592,2637,41,-405.62469482421875,707,0.0007666348686557302,1917.8175048828125,0.5
2316.2764,1152,96.0,110592,2637,41,,,,,
2392.0645,1156,96.0,111360,2656,41,-413.91107177734375,713,0.0007666348686557302,1656.3377685546875,0.5
2392.0645,1160,96.0,111360,2656,41,,,,,
2472.2532,1164,96.0,112128,2674,41,-450.0955810546875,719,0.0007666348686557302,3451.75634765625,0.5
2472.2532,1168,96.0,112128,2674,41,,,,,
2555.1191,1172,96.0,112896,2692,41,-412.9559631347656,725,0.0007666348686557302,2699.150390625,0.5
2555.1191,1176,96.0,112896,2692,41,,,,,
2662.4453,1180,96.0,113664,2711,41,-436.9498596191406,731,0.0007666348686557302,1693.43505859375,0.5
2662.4453,1184,96.0,113664,2711,41,,,,,
2801.7842,1188,96.0,114432,2729,41,-425.295166015625,737,0.0007666348686557302,1223.1302490234375,0.5
2801.7842,1192,96.0,114432,2729,41,,,,,
2990.0554,1196,96.0,115200,2748,41,-422.1566162109375,743,0.0007666348686557302,926.213134765625,0.5
2990.0554,1200,96.0,115200,2748,41,,,,,
3160.1843,1204,96.0,115968,2766,41,-456.23687744140625,749,0.0007666348686557302,1321.686279296875,0.5
3160.1843,1208,96.0,115968,2766,41,,,,,
3280.8862,1212,96.0,116736,2784,41,-416.92486572265625,755,0.0007666348686557302,1192.526123046875,0.5
3280.8862,1216,96.0,116736,2784,41,,,,,
3395.3215,1220,96.0,117504,2803,41,-441.01654052734375,761,0.0007666348686557302,2140.3671875,0.5
3395.3215,1224,96.0,117504,2803,41,,,,,
3459.561,1228,96.0,118272,2821,41,-373.0759582519531,767,0.0007666348686557302,2213.4072265625,0.5
3459.561,1232,96.0,118272,2821,41,,,,,
3485.8223,1236,96.0,119040,2840,41,-487.4317626953125,773,0.0007666348686557302,2856.97705078125,0.5
3485.8223,1240,96.0,119040,2840,41,,,,,
3486.213,1244,96.0,119808,2858,41,-423.9124755859375,779,0.0007666348686557302,3654.123291015625,0.5
3486.213,1248,96.0,119808,2858,41,,,,,
3495.0576,1252,96.0,120576,2877,41,-449.5179748535156,785,0.0007666348686557302,1346.510986328125,0.5
3495.0576,1256,96.0,120576,2877,41,,,,,
3471.9795,1260,96.0,121344,2895,41,-440.7985534667969,791,0.0007666348686557302,1700.6380615234375,0.5
3471.9795,1264,96.0,121344,2895,41,,,,,
3426.2117,1268,96.0,122112,2914,41,-439.4701843261719,797,0.0007666348686557302,1778.225341796875,0.5
3426.2117,1272,96.0,122112,2914,41,,,,,
3377.7666,1276,96.0,122880,2932,41,-448.50970458984375,803,0.0007666348686557302,1299.51953125,0.5
3377.7666,1280,96.0,122880,2932,41,,,,,
3316.2256,1284,96.0,123648,2951,41,-427.94451904296875,809,0.0007666348686557302,1873.9619140625,0.5
3316.2256,1288,96.0,123648,2951,41,,,,,
3317.25,1292,96.0,124416,2969,41,-437.61431884765625,815,0.0007666348686557302,1042.59619140625,0.5
3317.25,1296,96.0,124416,2969,41,,,,,
3345.558,1300,96.0,125184,2988,41,-400.748046875,821,0.0007666348686557302,1800.3153076171875,0.5
3345.558,1304,96.0,125184,2988,41,,,,,
3357.0913,1308,96.0,125952,3006,41,-426.364501953125,827,0.0007666348686557302,3489.1943359375,0.5
3357.0913,1312,96.0,125952,3006,41,,,,,
3368.206,1316,96.0,126720,3024,41,-457.1873474121094,833,0.0007666348686557302,2180.8291015625,0.5
3368.206,1320,96.0,126720,3024,41,,,,,
3398.8345,1324,96.0,127488,3043,41,-479.6365051269531,839,0.0007666348686557302,1422.918701171875,0.5
3398.8345,1328,96.0,127488,3043,41,,,,,
3434.4753,1332,96.0,128256,3061,41,-452.0303039550781,845,0.0007666348686557302,2002.10888671875,0.5
3434.4753,1336,96.0,128256,3061,41,,,,,
3473.4485,1340,96.0,129024,3080,41,-480.2925109863281,851,0.0007666348686557302,2477.114990234375,0.5
3473.4485,1344,96.0,129024,3080,41,,,,,
3512.735,1348,96.0,129792,3098,41,-413.7668762207031,857,0.0007666348686557302,1767.227783203125,0.5
3512.735,1352,96.0,129792,3098,41,,,,,
3561.9177,1356,96.0,130560,3116,41,-456.0299072265625,863,0.0007666348686557302,3334.4267578125,0.5
3561.9177,1360,96.0,130560,3116,41,,,,,
3605.0576,1364,96.0,131328,3135,41,-490.21234130859375,869,0.0007666348686557302,1274.17529296875,0.5
3605.0576,1368,96.0,131328,3135,41,,,,,
3634.2727,1372,96.0,132096,3153,41,-463.08062744140625,875,0.0007666348686557302,2111.061279296875,0.5
3634.2727,1376,96.0,132096,3153,41,,,,,
3624.0947,1380,96.0,132864,3172,41,-471.5374755859375,881,0.0007666348686557302,1308.66845703125,0.5
3624.0947,1384,96.0,132864,3172,41,,,,,
