,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
36,36,-777.3383178710938,2022-11-01 04:06:15.397107,2022-11-01 04:20:07.104048,0 days 00:13:51.706941,tanh,32,0.1,5.825881274604e-06,0.95,0.9,0.008271125682414136,-1.1475452056618132,0.7,10,2048,small,True,256,0.3518148823906476,PRUNED
37,37,-457.81060791015625,2022-11-01 04:20:07.104048,2022-11-01 04:33:42.725508,0 days 00:13:35.621460,leaky_relu,512,0.2,0.04187233516783309,0.8,0.9999,0.0029416918914192463,-3.418846056810202,2.0,5,1024,big,True,-1,0.2585851476022947,PRUNED
38,38,-1998.630126953125,2022-11-01 04:33:42.725508,2022-11-01 04:50:00.354477,0 days 00:16:17.628969,elu,16,0.4,0.024486863634618192,1.0,0.99,0.04491923464001809,-2.8072934310673134,0.5,20,16,small,False,16,0.5554194262918895,PRUNED
39,39,-621.095458984375,2022-11-01 04:50:00.356513,2022-11-01 05:03:44.590953,0 days 00:13:44.234440,tanh,8,0.1,0.09351769299245032,0.92,0.95,3.215471590723062e-05,-1.7096928852276498,0.3,1,256,medium,True,32,0.1930802177543751,PRUNED
40,40,-624.2261962890625,2022-11-01 05:03:44.599001,2022-11-01 05:17:33.935877,0 days 00:13:49.336876,relu,128,0.3,0.0010479650384312103,0.99,0.9999,0.0002464208003584474,-2.5856472505257058,0.9,20,128,small,True,64,0.13286343358476393,PRUNED
41,41,744.529052734375,2022-11-01 05:17:33.943910,2022-11-01 07:08:29.111816,0 days 01:50:55.167906,leaky_relu,128,0.2,0.0004382696903829045,0.98,0.95,0.00044307581316531977,-1.9781707212880875,0.6,20,8,small,True,64,0.09965091794876546,COMPLETE
42,42,-333.1983642578125,2022-11-01 07:08:29.111816,2022-11-01 07:26:49.655394,0 days 00:18:20.543578,leaky_relu,128,0.2,4.239374605444421e-05,0.9,0.95,0.0011926239726310903,-1.9027486086157714,0.6,20,8,small,True,64,0.06857299289902598,PRUNED
43,43,-624.933349609375,2022-11-01 07:26:49.655394,2022-11-01 07:45:21.438194,0 days 00:18:31.782800,leaky_relu,128,0.2,0.001446728773563724,0.98,0.95,9.50178974117972e-05,-2.2562073307581882,0.6,20,8,small,True,64,0.007107381962471862,PRUNED
44,44,-619.6182861328125,2022-11-01 07:45:21.438194,2022-11-01 07:59:02.219714,0 days 00:13:40.781520,leaky_relu,128,0.2,0.0004017141691083714,1.0,0.95,0.0001503757949662911,-1.5818857993298199,0.6,20,512,small,True,-1,0.12145475591236429,PRUNED
45,45,-627.036376953125,2022-11-01 07:59:02.219714,2022-11-01 08:13:50.871165,0 days 00:14:48.651451,leaky_relu,512,0.2,0.00011830801014329471,0.98,0.95,0.0003993998585348808,-3.0584552787296118,0.7,5,8,small,True,64,0.16720772501942527,PRUNED
46,46,-612.844482421875,2022-11-01 08:13:50.871165,2022-11-01 08:29:04.320551,0 days 00:15:13.449386,leaky_relu,32,0.2,0.006264365833939017,1.0,0.99,0.0006434854761620672,-1.0796002300400094,1.0,20,1024,big,True,256,0.6405543502032812,PRUNED
47,47,-8209.431640625,2022-11-01 08:29:04.320551,2022-11-01 08:47:21.426870,0 days 00:18:17.106319,leaky_relu,256,0.1,0.0005480827902169429,0.95,0.995,0.0020406615772113716,-2.397925895972725,0.6,20,8,small,True,128,0.04690433148067652,PRUNED
48,48,-424.59912109375,2022-11-01 08:47:21.426870,2022-11-01 09:01:27.128966,0 days 00:14:05.702096,leaky_relu,128,0.2,2.749754337966554e-05,0.8,0.98,0.00014726111789657,-0.4447090263612252,5.0,20,64,small,True,64,0.7383061019770913,PRUNED
49,49,-6508.84326171875,2022-11-01 09:01:27.128966,2022-11-01 09:15:07.355849,0 days 00:13:40.226883,elu,128,0.4,0.004089278792692651,0.98,0.95,0.0244074378197068,-1.849750767841364,0.6,1,32,small,True,64,0.31938735138917157,PRUNED
50,50,891.0137939453125,2022-11-01 09:15:07.355849,2022-11-01 10:50:46.206209,0 days 01:35:38.850360,tanh,32,0.2,0.012326743331107708,0.92,0.999,0.005025284498301577,-2.042723109740433,0.3,10,8,small,False,8,0.8558512952518345,COMPLETE
51,51,-396.5609130859375,2022-11-01 10:50:46.214242,2022-11-01 12:26:08.489093,0 days 01:35:22.274851,tanh,32,0.2,0.014706481130559721,0.92,0.999,0.009759019708064962,-2.089889856706349,0.3,10,8,small,False,8,0.9050527809540059,COMPLETE
52,52,-836.5465087890625,2022-11-01 12:26:08.491128,2022-11-01 14:01:49.279700,0 days 01:35:40.788572,tanh,32,0.2,0.0012115839418350035,0.92,0.999,0.004289147929519786,-1.4149184873231349,0.3,10,8,small,False,8,0.8997293187007617,COMPLETE
53,53,-2450.0576171875,2022-11-01 14:01:49.279700,2022-11-01 14:17:49.697985,0 days 00:16:00.418285,tanh,32,0.2,0.00030636669545186003,0.92,0.999,0.06383204893891145,-2.6251661907444444,0.3,10,8,small,False,8,0.8215971203032248,PRUNED
54,54,-530.3663330078125,2022-11-01 14:17:49.706040,2022-11-01 14:33:51.475554,0 days 00:16:01.769514,tanh,32,0.2,0.010480680972844957,1.0,0.999,0.0009702488150341862,-2.2882319590286655,0.6,10,8,small,False,256,0.9801791141610693,PRUNED
55,55,-515.5869140625,2022-11-01 14:33:51.475554,2022-11-01 14:47:25.421206,0 days 00:13:33.945652,leaky_relu,128,0.1,3.694587156087876e-07,0.98,0.99,0.01594505167905002,-1.6415845847661745,0.9,20,2048,small,False,8,0.6982871773705008,PRUNED
56,56,920.8931884765625,2022-11-01 14:47:25.421206,2022-11-01 16:26:20.514146,0 days 01:38:55.092940,relu,512,0.2,0.00415124870565291,0.92,0.95,0.005521570156300607,-2.0515151931261966,0.8,10,8,small,True,64,0.21969519565431705,COMPLETE
