,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
67,67,2773.21435546875,2022-11-19 01:15:43.015830,2022-11-19 02:47:39.787273,0 days 01:31:56.771443,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.005623893492303864,medium,0.5676546467694014,ornstein-uhlenbeck,0.08,16,COMPLETE
68,68,1715.1673583984375,2022-11-19 02:47:39.787273,2022-11-19 03:15:25.738280,0 days 00:27:45.951007,<class 'torch.nn.modules.activation.ELU'>,512,1000000,0.999,0.004703873565744441,medium,0.49604344349591833,,0.08,16,PRUNED
69,69,-5115.9775390625,2022-11-19 03:15:25.738280,2022-11-19 03:36:53.947783,0 days 00:21:28.209503,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.995,0.1346214089655656,medium,0.7133170703491393,ornstein-uhlenbeck,0.08,128,PRUNED
70,70,605.2860717773438,2022-11-19 03:36:53.947783,2022-11-19 03:54:52.905416,0 days 00:17:58.957633,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.9,0.0015819107700289646,medium,0.6088890845987228,ornstein-uhlenbeck,0.001,16,PRUNED
71,71,2774.16650390625,2022-11-19 03:54:52.905416,2022-11-19 05:26:54.812571,0 days 01:32:01.907155,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.006535253497233121,medium,0.5451197454937056,ornstein-uhlenbeck,0.08,16,COMPLETE
72,72,2425.736328125,2022-11-19 05:26:54.812571,2022-11-19 06:59:19.407999,0 days 01:32:24.595428,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.012352494197097939,medium,0.5650855332784104,ornstein-uhlenbeck,0.08,16,COMPLETE
73,73,2593.8251953125,2022-11-19 06:59:19.407999,2022-11-19 08:32:07.795170,0 days 01:32:48.387171,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.014056827785331275,medium,0.4725284900921953,ornstein-uhlenbeck,0.08,16,COMPLETE
74,74,2525.12548828125,2022-11-19 08:32:07.795170,2022-11-19 10:04:12.702762,0 days 01:32:04.907592,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.01071894555695988,medium,0.45642281625144027,ornstein-uhlenbeck,0.08,16,COMPLETE
75,75,2622.91943359375,2022-11-19 10:04:12.702762,2022-11-19 11:37:12.672569,0 days 01:32:59.969807,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.0035326627788275803,medium,0.5157380089844957,ornstein-uhlenbeck,0.08,16,COMPLETE
76,76,1525.080810546875,2022-11-19 11:37:12.680606,2022-11-19 11:52:28.847474,0 days 00:15:16.166868,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.0033446948349041016,medium,0.4388738443663464,ornstein-uhlenbeck,0.08,16,PRUNED
77,77,300.3781433105469,2022-11-19 11:52:28.847474,2022-11-19 12:07:45.764556,0 days 00:15:16.917082,<class 'torch.nn.modules.activation.Tanh'>,512,10000,0.999,0.005899577803354297,medium,0.5219790604988427,ornstein-uhlenbeck,0.08,16,PRUNED
78,78,947.083251953125,2022-11-19 12:07:45.766599,2022-11-19 12:23:18.899368,0 days 00:15:33.132769,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.0007326001875701049,medium,0.46718941012038406,ornstein-uhlenbeck,0.08,16,PRUNED
79,79,2529.44091796875,2022-11-19 12:23:18.899394,2022-11-19 13:55:38.455330,0 days 01:32:19.555936,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.0026106782338848186,medium,0.3766727193298833,normal,0.08,16,COMPLETE
80,80,2278.638671875,2022-11-19 13:55:38.455330,2022-11-19 15:28:20.422468,0 days 01:32:41.967138,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.002189934012739156,medium,0.37991151587163685,normal,0.08,16,COMPLETE
81,81,2360.742919921875,2022-11-19 15:28:20.422468,2022-11-19 17:00:26.822206,0 days 01:32:06.399738,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.0037068226847619366,medium,0.3163875330129664,normal,0.08,16,COMPLETE
82,82,-298.10418701171875,2022-11-19 17:00:26.822206,2022-11-19 17:15:48.748326,0 days 00:15:21.926120,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.0014629664412214051,medium,0.4646480351591794,normal,0.08,16,PRUNED
83,83,2155.28173828125,2022-11-19 17:15:48.748326,2022-11-19 18:48:09.676440,0 days 01:32:20.928114,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.00904802709211532,medium,0.42234797071126895,normal,0.08,16,COMPLETE
84,84,1105.883544921875,2022-11-19 18:48:09.678471,2022-11-19 19:03:30.441224,0 days 00:15:20.762753,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.028348596093352493,medium,0.3858268531760738,normal,0.08,16,PRUNED
85,85,1765.34375,2022-11-19 19:03:30.449266,2022-11-19 19:18:47.945638,0 days 00:15:17.496372,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.002584003488032698,medium,0.4878621204986843,ornstein-uhlenbeck,0.08,16,PRUNED
86,86,2222.1533203125,2022-11-19 19:18:47.953690,2022-11-19 20:51:34.547871,0 days 01:32:46.594181,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.005548807663614267,medium,0.44827336163866577,,0.08,16,COMPLETE
87,87,627.196044921875,2022-11-19 20:51:34.549919,2022-11-19 21:06:18.596944,0 days 00:14:44.047025,<class 'torch.nn.modules.activation.ELU'>,100,100000,0.95,0.010528565436266233,medium,0.5111475661825224,ornstein-uhlenbeck,0.08,32,PRUNED
88,88,1045.45068359375,2022-11-19 21:06:18.596944,2022-11-19 21:21:30.697980,0 days 00:15:12.101036,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.0008397697808227814,medium,0.34342666200466426,ornstein-uhlenbeck,0.08,16,PRUNED
89,89,-27.813629150390625,2022-11-19 21:21:30.697980,2022-11-19 21:35:24.080041,0 days 00:13:53.382061,<class 'torch.nn.modules.activation.Tanh'>,16,1000000,0.999,0.007427873322384939,medium,0.548312892998964,ornstein-uhlenbeck,0.08,1,PRUNED
