,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
45,45,-383.53497314453125,2022-11-22 10:14:37.897870,2022-11-22 10:35:55.502912,0 days 00:21:17.605042,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.01,0.9999,0.00044685219243044796,20000,-1.0768234258100347,big,0.005,256,PRUNED
46,46,-2724.75048828125,2022-11-22 10:35:55.502912,2022-11-22 10:50:26.264565,0 days 00:14:30.761653,<class 'torch.nn.modules.activation.Tanh'>,128,1000000,0.1,0.95,0.005955858762999492,10000,0.3769333739959805,medium,0.08,512,PRUNED
47,47,-371.6026611328125,2022-11-22 10:50:26.264565,2022-11-22 11:05:01.505707,0 days 00:14:35.241142,<class 'torch.nn.modules.activation.ReLU'>,256,100000,0.5,0.98,0.00019565663867705268,0,0.14913540323140698,small,0.01,8,PRUNED
48,48,642.89208984375,2022-11-22 11:05:01.505707,2022-11-22 13:09:10.721155,0 days 02:04:09.215448,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0014851369459801306,1000,-3.011113391832369,big,0.02,16,COMPLETE
49,49,766.7052001953125,2022-11-22 13:09:10.721155,2022-11-22 15:13:27.123633,0 days 02:04:16.402478,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0006416789775207159,1000,-2.500599195228758,big,0.02,32,COMPLETE
50,50,-243.1500244140625,2022-11-22 15:13:27.123633,2022-11-22 15:28:34.414568,0 days 00:15:07.290935,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0006469331072693083,1000,-2.377706485305889,small,0.02,32,PRUNED
51,51,-831.840576171875,2022-11-22 15:28:34.416613,2022-11-22 17:32:34.004103,0 days 02:03:59.587490,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0012560412058934098,1000,-2.9295850486818233,big,0.02,32,COMPLETE
52,52,588.8212890625,2022-11-22 17:32:34.004103,2022-11-22 19:38:04.862399,0 days 02:05:30.858296,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0018121074774129135,1000,-2.5223738849466852,big,0.02,32,COMPLETE
53,53,-12.526116371154785,2022-11-22 19:38:04.862399,2022-11-22 19:58:55.365942,0 days 00:20:50.503543,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0023195583944101844,1000,-2.3920116690808904,big,0.02,32,PRUNED
54,54,-1529.3043212890625,2022-11-22 19:58:55.367986,2022-11-22 22:03:50.580284,0 days 02:04:55.212298,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.00028921083929139894,1000,-1.7320601712617005,big,0.02,32,COMPLETE
55,55,-2119.8212890625,2022-11-22 22:03:50.582321,2022-11-22 22:24:04.730049,0 days 00:20:14.147728,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,2.117959190146099e-05,1000,-2.1012916767699332,big,0.02,32,PRUNED
56,56,-2367.66748046875,2022-11-22 22:24:04.730049,2022-11-22 22:44:46.351289,0 days 00:20:41.621240,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.006145707441257009,1000,-2.988612317818662,big,0.02,1,PRUNED
57,57,639.4935913085938,2022-11-22 22:44:46.351289,2022-11-23 00:30:56.582852,0 days 01:46:10.231563,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0039142017595808175,20000,-2.549873760333811,medium,0.02,32,COMPLETE
58,58,632.363525390625,2022-11-23 00:30:56.584889,2022-11-23 02:17:05.582670,0 days 01:46:08.997781,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0033375925754148485,20000,-2.551493132721475,medium,0.02,32,COMPLETE
59,59,219.61117553710938,2022-11-23 02:17:05.582670,2022-11-23 02:32:19.853485,0 days 00:15:14.270815,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.99,0.004121501841352143,20000,-2.081252467634988,medium,0.02,128,PRUNED
60,60,-1826.794677734375,2022-11-23 02:32:19.853485,2022-11-23 02:56:19.648770,0 days 00:23:59.795285,<class 'torch.nn.modules.activation.ELU'>,2048,100000,0.01,0.999,0.008071037314391833,20000,-3.1892341690918267,medium,0.02,64,PRUNED
61,61,627.3135375976562,2022-11-23 02:56:19.648770,2022-11-23 04:42:03.553283,0 days 01:45:43.904513,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.002910211932077349,20000,-2.616269520413735,medium,0.02,32,COMPLETE
62,62,628.60107421875,2022-11-23 04:42:03.561334,2022-11-23 06:26:50.625798,0 days 01:44:47.064464,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0151379547401236,20000,-2.5804400020752722,medium,0.02,32,COMPLETE
63,63,-105.13128662109375,2022-11-23 06:26:50.625798,2022-11-23 06:42:10.641987,0 days 00:15:20.016189,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.015019696211987031,20000,-2.831705643213924,medium,0.02,32,PRUNED
64,64,628.7636108398438,2022-11-23 06:42:10.641987,2022-11-23 08:28:23.542328,0 days 01:46:12.900341,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0030788145094090874,20000,-2.585786772818148,medium,0.02,32,COMPLETE
65,65,629.5185546875,2022-11-23 08:28:23.550380,2022-11-23 10:14:27.915043,0 days 01:46:04.364663,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.001053316543347305,20000,-3.6049201937173825,medium,0.02,32,COMPLETE
66,66,248.11825561523438,2022-11-23 10:14:27.915043,2022-11-23 10:29:40.105243,0 days 00:15:12.190200,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.995,0.0011307133201074369,20000,-3.561987683000411,medium,0.02,32,PRUNED
67,67,325.0009765625,2022-11-23 10:29:40.113290,2022-11-23 10:45:38.155409,0 days 00:15:58.042119,<class 'torch.nn.modules.activation.ELU'>,512,100000,auto,0.95,0.0007380280912023065,20000,-2.2206904701744965,medium,0.02,32,PRUNED
68,68,-1442.89306640625,2022-11-23 10:45:38.155409,2022-11-23 11:00:52.922159,0 days 00:15:14.766750,<class 'torch.nn.modules.activation.LeakyReLU'>,512,1000000,0.01,0.9999,0.0004836687707698649,20000,-3.6776681482638476,medium,0.02,4,PRUNED
69,69,627.7835693359375,2022-11-23 11:00:52.922159,2022-11-23 12:42:44.980330,0 days 01:41:52.058171,<class 'torch.nn.modules.activation.ReLU'>,512,100000,0.01,0.9,0.0035625232812284383,20000,-3.1744578037120417,medium,0.02,32,COMPLETE
70,70,625.2599487304688,2022-11-23 12:42:44.980330,2022-11-23 15:45:40.634948,0 days 03:02:55.654618,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,100000,0.0001,0.9,0.0022481541220771215,20000,-2.8058336599924965,medium,0.05,32,COMPLETE
71,71,-1664.55029296875,2022-11-23 15:45:40.634948,2022-11-23 17:32:15.710407,0 days 01:46:35.075459,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.001002360967827557,20000,-1.88758114562503,medium,0.02,32,COMPLETE
72,72,-689.1575927734375,2022-11-23 17:32:15.710407,2022-11-23 17:47:33.703776,0 days 00:15:17.993369,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0368922293411783,20000,-2.5942636333783624,medium,0.02,32,PRUNED
73,73,-2800.518798828125,2022-11-23 17:47:33.703776,2022-11-23 18:02:45.143174,0 days 00:15:11.439398,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.012216095699914116,20000,-2.48593569576265,medium,0.02,32,PRUNED
74,74,631.4385375976562,2022-11-23 18:02:45.145214,2022-11-23 19:47:05.003973,0 days 01:44:19.858759,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.004799193608791798,20000,-3.945508300955703,medium,0.02,8,COMPLETE
75,75,-688.400146484375,2022-11-23 19:47:05.003973,2022-11-23 20:04:24.747455,0 days 00:17:19.743482,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,100000,0.01,0.9,0.007702674857104712,20000,-3.4301345777778254,medium,0.02,8,PRUNED
76,76,-3346.07373046875,2022-11-23 20:04:24.747455,2022-11-23 20:18:58.470627,0 days 00:14:33.723172,<class 'torch.nn.modules.activation.ELU'>,32,100000,0.01,0.9,0.004786543952339264,10000,-3.679103840665603,medium,0.001,8,PRUNED
77,77,554.7889404296875,2022-11-23 20:18:58.470627,2022-11-23 20:34:11.499810,0 days 00:15:13.029183,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.0016721751631613244,20000,-3.81232768281486,medium,0.02,8,PRUNED
78,78,66.36966705322266,2022-11-23 20:34:11.499810,2022-11-23 20:49:22.780557,0 days 00:15:11.280747,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,auto,0.999,0.0006630112437020511,20000,-3.21385385422598,medium,0.02,512,PRUNED
79,79,-2322.45654296875,2022-11-23 20:49:22.780557,2022-11-23 21:04:04.455765,0 days 00:14:41.675208,<class 'torch.nn.modules.activation.LeakyReLU'>,256,100000,0.01,0.99,0.00027836172388916056,20000,-3.9174173235757617,medium,0.02,8,PRUNED
80,80,-2341.054931640625,2022-11-23 21:04:04.455765,2022-11-23 21:28:00.373730,0 days 00:23:55.917965,<class 'torch.nn.modules.activation.ELU'>,2048,1000000,0.5,0.98,0.002753425960900108,20000,-3.052419571879958,medium,0.05,16,PRUNED
81,81,369.37615966796875,2022-11-23 21:28:00.375776,2022-11-23 21:43:17.071334,0 days 00:15:16.695558,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.010946744638362323,20000,-3.9781336769495903,medium,0.02,32,PRUNED
82,82,630.3311767578125,2022-11-23 21:43:17.073372,2022-11-23 23:29:10.217129,0 days 01:45:53.143757,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.00378562094631181,20000,-2.2785193134297073,medium,0.02,32,COMPLETE
83,83,642.2147827148438,2022-11-23 23:29:10.217129,2022-11-24 01:15:50.102585,0 days 01:46:39.885456,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.003750747841102693,20000,-2.232293291482002,medium,0.02,128,COMPLETE
84,84,620.3348388671875,2022-11-24 01:15:50.110655,2022-11-24 03:02:17.357282,0 days 01:46:27.246627,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,0.004228760104453464,20000,-2.3101948103038232,medium,0.02,128,COMPLETE
85,85,451.15167236328125,2022-11-24 03:02:17.357282,2022-11-24 03:17:36.368836,0 days 00:15:19.011554,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.995,0.0012878675957876389,20000,-2.2100349966261628,medium,0.02,1,PRUNED
86,86,1015.6863403320312,2022-11-24 03:17:36.370875,2022-11-24 04:59:33.050156,0 days 01:41:56.679281,<class 'torch.nn.modules.activation.ReLU'>,512,100000,0.0001,0.9,0.0020388228779846733,20000,-1.933683443688488,medium,0.02,128,COMPLETE
87,87,2048.175537109375,2022-11-24 04:59:33.058192,2022-11-24 06:42:05.311035,0 days 01:42:32.252843,<class 'torch.nn.modules.activation.ReLU'>,512,100000,0.0001,0.9999,0.0018008471166288819,10000,-1.6285990193206552,medium,0.001,128,COMPLETE
88,88,-484.3062744140625,2022-11-24 06:42:05.311035,2022-11-24 07:05:39.972683,0 days 00:23:34.661648,<class 'torch.nn.modules.activation.ReLU'>,2048,100000,0.0001,0.9999,0.002048274706794902,10000,-1.4822377917711604,medium,0.001,128,PRUNED
89,89,1339.296142578125,2022-11-24 07:05:39.980734,2022-11-24 09:13:40.845105,0 days 02:08:00.864371,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.0015364949723505326,10000,-1.6343987169076553,medium,0.001,128,COMPLETE
90,90,-6.852801322937012,2022-11-24 09:13:40.847143,2022-11-24 09:32:46.303943,0 days 00:19:05.456800,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.001715587602701998,10000,-1.734879504628568,medium,0.001,128,PRUNED
91,91,-106.34506225585938,2022-11-24 09:32:46.311985,2022-11-24 09:52:00.935305,0 days 00:19:14.623320,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.006802481481972355,10000,-1.3279837852067709,medium,0.001,128,PRUNED
92,92,125.93246459960938,2022-11-24 09:52:00.935305,2022-11-24 10:10:59.810222,0 days 00:18:58.874917,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.0008565776175471581,10000,-1.9586378074512278,medium,0.001,128,PRUNED
93,93,1556.05615234375,2022-11-24 10:10:59.818262,2022-11-24 12:20:07.184224,0 days 02:09:07.365962,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.0025046023164282806,10000,-1.6092249049052854,medium,0.001,128,COMPLETE
94,94,625.6940307617188,2022-11-24 12:20:07.192278,2022-11-24 12:39:05.191266,0 days 00:18:57.998988,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.000384310634364524,10000,-1.5530390011392585,medium,0.001,128,PRUNED
95,95,-337.7486572265625,2022-11-24 12:39:05.191266,2022-11-24 12:58:08.285735,0 days 00:19:03.094469,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.0014297351120257785,10000,-1.714231120613088,medium,0.001,128,PRUNED
96,96,1527.310546875,2022-11-24 12:58:08.287778,2022-11-24 15:29:32.147495,0 days 02:31:23.859717,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.0005689336409573657,10000,-2.032865473650921,big,0.001,128,COMPLETE
97,97,1297.4241943359375,2022-11-24 15:29:32.147495,2022-11-24 17:59:40.146214,0 days 02:30:07.998719,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.000600926350659294,10000,-1.5922551729535717,big,0.001,128,COMPLETE
98,98,-219.10797119140625,2022-11-24 17:59:40.146214,2022-11-24 18:21:32.921166,0 days 00:21:52.774952,<class 'torch.nn.modules.activation.ReLU'>,1024,1000000,0.0001,0.9999,0.0005814338985402612,10000,-1.1562239611788598,big,0.001,128,PRUNED
99,99,-2234.45361328125,2022-11-24 18:21:32.929216,2022-11-24 18:42:47.424989,0 days 00:21:14.495773,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.0001,0.9999,0.0008273450166010402,10000,-1.578925873940625,big,0.001,128,PRUNED
