rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate
433.5259,92160,6135,96.0,15,960,,,,
434.4342,92928,6243,96.0,14,964,-3.509872919297777,92160,802.4712776094675,0.0022882963659741056
434.4342,92928,6243,96.0,14,968,,,,
438.9111,93696,6261,96.0,14,972,,,,
438.9111,93696,6261,96.0,14,976,,,,
430.18134,94464,6368,96.0,14,980,-1.0127576318918727,94208,777.832218170166,0.0022882963659741056
430.18134,94464,6368,96.0,14,984,,,,
431.58353,95232,6387,96.0,14,988,,,,
431.58353,95232,6387,96.0,14,992,,,,
431.4741,96000,6406,96.0,14,996,,,,
431.4741,96000,6406,96.0,14,1000,,,,
435.13864,96768,6514,96.0,14,1004,0.41007469306350686,96256,844.1692604273558,0.0022882963659741056
435.13864,96768,6514,96.0,14,1008,,,,
442.59,97536,6532,96.0,14,1012,,,,
442.59,97536,6532,96.0,14,1016,,,,
440.1864,98304,6551,96.0,15,1020,,,,
440.1864,98304,6551,96.0,15,1024,,,,
433.65802,99072,6658,96.0,14,1028,1.4522870578803122,98304,806.4471461176872,0.0022882963659741056
433.65802,99072,6658,96.0,14,1032,,,,
437.06305,99840,6677,96.0,14,1036,,,,
437.06305,99840,6677,96.0,14,1040,,,,
438.83426,100608,6785,96.0,14,1044,0.7195203548762947,100352,782.1751904636621,0.0022882963659741056
438.83426,100608,6785,96.0,14,1048,,,,
438.25577,101376,6803,96.0,14,1052,,,,
438.25577,101376,6803,96.0,14,1056,,,,
436.77502,102144,6822,96.0,14,1060,,,,
436.77502,102144,6822,96.0,14,1064,,,,
435.38397,102912,6929,96.0,14,1068,-4.760992250579875,102400,718.1786186695099,0.0022882963659741056
435.38397,102912,6929,96.0,14,1072,,,,
436.77917,103680,6948,96.0,14,1076,,,,
436.77917,103680,6948,96.0,14,1080,,,,
424.71378,104448,6966,96.0,14,1084,,,,
424.71378,104448,6966,96.0,14,1088,,,,
422.34976,105216,7074,96.0,14,1092,-23.516431686934084,104448,399.4486437290907,0.0022882963659741056
422.34976,105216,7074,96.0,14,1096,,,,
415.954,105984,7092,96.0,14,1100,,,,
415.954,105984,7092,96.0,14,1104,,,,
406.77423,106752,7200,96.0,14,1108,-23.553580995532684,106496,397.36168409883976,0.0022882963659741056
406.77423,106752,7200,96.0,14,1112,,,,
411.41183,107520,7218,96.0,14,1116,,,,
411.41183,107520,7218,96.0,14,1120,,,,
