time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
12849,37,485696,7589,2.5333837e-05,54376.71064453125,0.7065016329288483,37940,0.2,14990.3984375,-0.0015046540182083845,601.4735717773438,0.0,-78.6079875946045,0.0013647642264479798,96.0,2759.8638
12851,37,485760,7590,6.500166e-05,56441.81904296875,0.8143420219421387,37945,0.2,10880.9013671875,-0.0012739032506942749,602.2910766601562,0.0,-78.61449813842773,0.0013647642264479798,96.0,2759.8638
12853,37,485824,7591,2.803374e-05,72217.32373046875,0.8053917288780212,37950,0.2,21105.572265625,-0.0012011746410280466,602.6141357421875,0.0,-78.61626625061035,0.0013647642264479798,96.0,2759.8638
12854,37,485888,7592,2.8513372e-05,29190.35185546875,0.9104632139205933,37955,0.2,3781.0185546875,-0.0011395707726478577,603.3233032226562,0.0,-78.61387214660644,0.0013647642264479798,96.0,2759.8638
12856,37,485952,7593,0.000121099874,68429.72041015625,0.7435011565685272,37960,0.2,8198.935546875,-0.0016703447792679072,604.2123413085938,0.0,-78.6189624786377,0.0013647642264479798,96.0,2759.8638
12858,37,486016,7594,6.1010942e-05,44315.26171875,0.6636347770690918,37965,0.2,5712.78857421875,-0.0005933952517807484,605.1708374023438,0.0,-78.62358665466309,0.0013647642264479798,96.0,2759.8638
12859,37,486080,7595,4.4788234e-05,15583.988916015625,0.029060959815979004,37970,0.2,2830.82373046875,-0.0011465745978057385,606.2427978515625,0.0,-78.63165473937988,0.0013647642264479798,96.0,2759.8638
12861,37,486144,7596,0.0006272737,3866.9259521484373,0.5623093247413635,37975,0.2,454.5904235839844,-0.004258167976513505,609.5493774414062,0.0,-78.63210563659668,0.0013647642264479798,96.0,2738.9617
12863,37,486208,7597,0.0025976477,3494.302421569824,-0.34450197219848633,37980,0.2,204.5795440673828,-0.006709733547177165,617.965576171875,0.009375,-78.64429740905761,0.0013647642264479798,96.0,2738.9617
12864,37,486272,7598,0.0019899085,9644.534741210937,-0.15514838695526123,37985,0.2,1899.632568359375,-0.003941498463973403,622.4295043945312,0.009375,-78.69416160583496,0.0013647642264479798,96.0,2738.9617
12866,37,486336,7599,0.00010202732,56538.06015625,0.31719547510147095,37990,0.2,11353.9853515625,0.0012815527617931366,622.928466796875,0.0,-78.72005844116211,0.0013647642264479798,96.0,2738.9617
12868,37,486400,7600,3.738515e-05,109122.5146484375,0.16358357667922974,37995,0.2,28800.373046875,-0.0015020037069916725,623.3464965820312,0.0,-78.73346405029297,0.0013647642264479798,96.0,2738.9617
12869,37,486464,7601,4.7015026e-05,40409.831787109375,0.6122430562973022,38000,0.2,4389.4169921875,-0.0016720466315746307,624.45947265625,0.0,-78.74699401855469,0.0013647642264479798,96.0,2738.9617
12871,37,486528,7602,2.7671456e-05,67505.048046875,0.7226948440074921,38005,0.2,9981.4931640625,-0.0015705934725701808,625.4727783203125,0.0,-78.75942115783691,0.0013647642264479798,96.0,2738.9617
12873,37,486592,7603,8.273963e-05,39100.52299804687,0.7730423957109451,38010,0.2,12487.1533203125,-0.0018307885155081749,625.6425170898438,0.0,-78.769970703125,0.0013647642264479798,96.0,2738.9617
12874,37,486656,7604,7.5659715e-05,80382.0453125,0.8069408535957336,38015,0.2,13192.9189453125,-0.0014408599934540689,625.6824951171875,0.0,-78.77839164733886,0.0013647642264479798,96.0,2738.9617
12876,37,486720,7605,0.00014435686,23782.604907226563,0.9341508895158768,38020,0.2,9490.228515625,-0.0033159162383526565,625.1099243164062,0.0,-78.78406448364258,0.0013647642264479798,96.0,2738.9617
12878,37,486784,7606,0.0001925705,279551.210546875,-2.773052215576172,38025,0.2,27115.380859375,-0.001467911317013204,624.562255859375,0.0,-78.78098182678222,0.0013647642264479798,96.0,2738.9617
12879,37,486848,7607,0.0012478083,5139.903002929687,0.011049509048461914,38030,0.2,1494.4822998046875,-0.00677931159734726,625.912353515625,0.003125,-78.78851585388183,0.0013647642264479798,96.0,2738.9617
12881,37,486912,7608,0.0008669654,2692.8569473266602,0.16508013010025024,38035,0.2,634.803466796875,-0.00219696881249547,625.6950073242188,0.0,-78.79689979553223,0.0013647642264479798,96.0,2696.1863
12883,37,486976,7609,0.007053611,3010.4526458740233,-0.6079518795013428,38040,0.2,413.3779602050781,-0.018491453398019074,623.2587280273438,0.028125,-78.72962188720703,0.0013647642264479798,96.0,2696.1863
12884,37,487040,7610,0.002069301,12242.135961914062,0.23086780309677124,38045,0.2,1927.13916015625,0.00019146064296364783,622.8687133789062,0.00625,-78.66242179870605,0.0013647642264479798,96.0,2696.1863
12886,37,487104,7611,0.00012867991,25189.58447265625,0.2198818325996399,38050,0.2,7293.4248046875,-0.002378969080746174,623.812255859375,0.0,-78.64382553100586,0.0013647642264479798,96.0,2696.1863
12888,37,487168,7612,6.402843e-05,41636.25698242187,0.5141734182834625,38055,0.2,5026.77099609375,-0.0012212398927658797,623.6063842773438,0.0,-78.63766517639161,0.0013647642264479798,96.0,2696.1863
12889,37,487232,7613,3.6974438e-05,26026.087744140626,0.7369746267795563,38060,0.2,1698.14697265625,-0.0010633175261318684,622.8851928710938,0.0,-78.64202880859375,0.0013647642264479798,96.0,2696.1863
12891,37,487296,7614,0.0006947797,17351.841674804688,0.8044690489768982,38065,0.2,2388.201416015625,-0.00614961851388216,622.4071655273438,0.003125,-78.64950485229492,0.0013647642264479798,96.0,2696.1863
12893,37,487360,7615,0.00020447001,21932.39267578125,0.8057682365179062,38070,0.2,5540.21826171875,-0.001648492133244872,623.353759765625,0.0,-78.6652889251709,0.0013647642264479798,96.0,2696.1863
12894,37,487424,7616,0.0001022527,24461.129174804686,0.8379546105861664,38075,0.2,3946.748291015625,-0.0018521967343986035,624.330322265625,0.0,-78.68003768920899,0.0013647642264479798,96.0,2696.1863
12896,37,487488,7617,3.7118793e-05,24805.03566894531,0.8489248752593994,38080,0.2,7526.158203125,-0.000654204236343503,624.5582885742188,0.0,-78.68974571228027,0.0013647642264479798,96.0,2696.1863
12898,37,487552,7618,0.00013811886,44084.71357421875,-0.137975811958313,38085,0.2,4061.068115234375,-0.0020565884187817574,625.0894165039062,0.0,-78.68382339477539,0.0013647642264479798,96.0,2696.1863
12899,37,487616,7619,0.0007365607,7164.235345458985,-0.8446947336196899,38090,0.2,2525.415283203125,-0.005301385372877121,626.3104858398438,0.0,-78.68049583435058,0.0013647642264479798,96.0,2696.1863
12901,37,487680,7620,0.0023520691,2215.3663177490234,-0.26461637020111084,38095,0.2,316.5471496582031,-0.009579256316646934,624.1393432617188,0.003125,-78.68781852722168,0.0013647642264479798,96.0,2710.1553
12903,37,487744,7621,0.004366327,2039.0785125732423,-0.8789980411529541,38100,0.2,254.9579315185547,-0.0052990647032856945,618.877197265625,0.0125,-78.714306640625,0.0013647642264479798,96.0,2710.1553
12904,37,487808,7622,0.0014698626,15783.81767578125,0.2637113928794861,38105,0.2,3941.199462890625,-0.006986196176148951,614.0352172851562,0.0,-78.6631690979004,0.0013647642264479798,96.0,2710.1553
12906,37,487872,7623,3.0408613e-05,47637.05859375,0.2960153818130493,38110,0.2,13496.771484375,0.00026341667398810387,613.0406494140625,0.0,-78.64774589538574,0.0013647642264479798,96.0,2710.1553
12908,37,487936,7624,1.0138378e-05,30320.51787109375,0.6047694087028503,38115,0.2,3404.72705078125,-0.0005195694742724299,612.96337890625,0.0,-78.6506248474121,0.0013647642264479798,96.0,2710.1553
12909,37,488000,7625,1.9200146e-05,47242.96748046875,0.6923087239265442,38120,0.2,7251.259765625,-0.0011404080549255013,612.7962646484375,0.0,-78.65263137817382,0.0013647642264479798,96.0,2710.1553
12911,37,488064,7626,2.7239323e-05,25502.855712890625,0.8724260926246643,38125,0.2,2131.547119140625,-0.0010019937530159951,613.0001831054688,0.0,-78.65648727416992,0.0013647642264479798,96.0,2710.1553
12913,37,488128,7627,3.550388e-05,35537.58559570312,0.7092980444431305,38130,0.2,5247.7392578125,-0.0009707064367830753,613.136474609375,0.0,-78.66008529663085,0.0013647642264479798,96.0,2710.1553
12915,37,488192,7628,4.964415e-05,23975.621704101562,0.828239381313324,38135,0.2,1133.8209228515625,-0.0013082269113510847,613.505859375,0.0,-78.6643253326416,0.0013647642264479798,96.0,2710.1553
12916,37,488256,7629,9.086449e-05,24824.644775390625,0.8098832815885544,38140,0.2,1853.3680419921875,-0.0016900726128369569,613.4750366210938,0.0,-78.6661220550537,0.0013647642264479798,96.0,2710.1553
12918,37,488320,7630,5.2317046e-05,36745.94240722656,0.5496496260166168,38145,0.2,5746.78515625,-0.0006609826348721981,613.9089965820312,0.0,-78.66397972106934,0.0013647642264479798,96.0,2710.1553
