time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef,train/n_updates
276,769.3141,26880,683,39,96.0,158.15225219726562,9.409250259399414,0.0016174122696161997,0.009999999776482582,202
280,769.3141,26880,683,39,96.0,,,,,
284,591.8849,27648,703,39,96.0,148.22341918945312,6.30863094329834,0.0016174122696161997,0.009999999776482582,208
288,591.8849,27648,703,39,96.0,,,,,
292,331.42786,28416,722,39,96.0,142.854736328125,3.0149459838867188,0.0016174122696161997,0.009999999776482582,214
296,331.42786,28416,722,39,96.0,,,,,
300,25.689434,29184,742,39,96.0,136.14068603515625,3.575150966644287,0.0016174122696161997,0.009999999776482582,220
304,25.689434,29184,742,39,96.0,,,,,
308,-163.14507,29952,761,39,96.0,130.3148193359375,2.507992744445801,0.0016174122696161997,0.009999999776482582,226
312,-163.14507,29952,761,39,96.0,,,,,
